Id,Você mora no Brasil?,Qual estado você mora?,Qual perfil você mais se identifica?,Você é um desenvolvedor focado em front-end?,Há quanto tempo você desenvolve front-end?,AngularJS,Backbone.js,Ember.js,jQuery,KnockoutJS,Other,Você utiliza algum padrão de módulo (module pattern) Javascript?,AMD,CommonJS,Other,Você utiliza alguma ferramenta para gerenciamento de pacotes front-end?,Bower,NPM,Volo,Jam,Other,Você utiliza alguma ferramenta para a automatização de tarefas relacionadas ao desenvolvimento front-end?,Grunt,Gear,Ant,Make,Cake,Jake,Rake,Bash,Other,Você desenvolve testes para o código Javascript?,Unitários,Integração ou End-to-End,Performance,Other,Você utiliza alguma ferramenta para auxiliar a realização dos testes?,QUnit,Karma,Jasmine,Sinon,Mocha,Other,Você utiliza alguma ferramenta de controle de versão?,Git,Mercurial,Subversion,Rational,Other,Você utiliza algum pré-processador CSS?,LESS,Sass,Stylus,Roole,Other,Você usa algum framework CSS?,Twitter Bootstrap,Topcoat,Foundation,Pure CSS,Other,Você usa alguma template-engine?,dust.js,Handlebars.js,Mustache.js,Jade,A do próprio framework,Other,Você utiliza alguma outra linguagem para escrever Javascript?,Marque qual linguagem você escreve Javascript:,Minifico o HTML,Minifico os arquivos CSS,Minifico os arquivos JS,Combino arquivos CSS,Combino arquivos JS,Otimizo as imagens,Uso arquivos servidos em um CDN público,Uso arquivos servidos em um CDN próprio,Other,Quais navegadores antigos você dá suporte?,Qual navegador você utiliza para desenvolvimento?,Como você vê o seu desenvolvimento para mobile?,Sublime Text,WebStorm (Jet Brains),Notepad++,Visual Studio,Dreamweaver,VI / VIM,Emacs,TextMate,NetBeans,Eclipse,Brackets,Other
197,1,RS,B,,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,,,1,,,0,,,,,,0,,,,,,0,,,,,,,0,,,1,1,,,1,,,,1,1,2,1,,,,,,,,,,,
198,1,SP,A,1,D,,1,,1,,,1,,1,,1,,1,,,,1,,,,,,,,,1,1,1,,,,1,,,1,,,,1,1,,,,,1,,1,,,,1,1,,,,,1,,,,,1,,1,0,1,1,1,1,1,,,1,,1,0,2,1,,,,,1,,,,1,,
200,1,CE,A,0,C,,,,1,,,1,1,,,1,1,1,,,,1,1,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,1,1,1,,,1,1,,1,,,1,,1,,,,,0,,,1,1,1,,,,,,1,0,2,1,,,,,,,,,,,
201,1,RJ,A,0,C,,,,1,,,1,1,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,1,,,0,,,,,,,0,,1,,,1,1,1,,,,2,0,0,1,,,,,,,,,,,
202,1,RJ,B,,D,,,,1,,,1,1,1,,1,1,1,,,,1,1,,,1,,,1,1,,1,1,1,1,,1,,1,1,,1,,1,1,,1,,,1,1,1,,,,1,1,,1,1,,1,,,,1,,,0,,1,1,1,1,1,1,,1,,2,0,2,1,,,1,,,,,,,1,
205,1,RS,B,,B,1,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,,1,,1,,0,,,,,,0,,,,,,,0,,1,1,1,1,1,1,1,,,2,0,1,1,,,,,,,,,,,
206,1,DF,B,,C,1,,,1,,,0,,,,1,,,,1,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,1,,1,,,,1,1,,,,,0,,,,,,,0,,1,1,1,,,1,,,,1,1,2,1,,,,,,,,,,,
207,1,SP,B,,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,1,1,,1,1,,0,,,,,,,0,,,1,1,,,1,,,,2,0,3,1,,,,,,,,,,,
209,1,RS,A,0,B,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,1,1,1,1,,0,,,,,,,1,1,,1,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,1,1,,1,1,,,,2,0,1,1,,,1,,,,,,,,
210,1,MG,B,,D,1,,,1,,,1,,1,,1,1,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,,1,,,,1,,,1,,,0,,,,,,,0,,,,,1,,,,,,2,4,2,,,,,1,,,,,,,
211,1,SP,B,,D,1,,1,1,,,1,1,,,1,1,1,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,1,1,,,,,0,,,,,,,0,,,1,1,1,1,1,,,1,1,0,2,1,,,,,,,,,,,
213,1,SP,B,,D,,,,1,,,1,1,,,1,1,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,,1,,0,,,,,,,0,,,1,1,1,,1,,1,,2,0,3,1,,,,,,,,,,,
214,1,MG,B,,C,,,,1,,,2,,,,0,,,,,,1,,,,,,,,,1,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,0,,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,2,0,2,1,,,,,,,,,,,
215,1,SP,B,,C,,,,1,,1,0,,,,0,,,,,,0,,,,,,,,,,1,1,,,,0,,,,,,,1,1,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,1,,,,,,2,0,2,1,,,,,,,,,,,
218,1,RJ,B,,D,,,,1,,1,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,,,1,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,,,,,,3,1,0,,,1,,,,,,,,,
221,1,SC,B,,B,,,,1,,,2,,,,1,,1,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,0,,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,2,0,2,1,,,,,,,,,,,
223,1,RS,B,,D,,,,1,,,0,,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,,,,1,,1,1,,,1,,1,,,1,,,,0,,1,1,1,1,1,1,1,,,2,1,3,1,,,,,,,,,,,
226,1,SP,A,0,A,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,,,,,1,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,,,,,,3,0,0,,,,,,,,,,1,,
230,1,GO,A,0,C,1,,,1,,,2,,,,0,,,,,,1,,,1,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,1,,,,1,1,,1,,,0,,,,,,,0,,,1,1,1,1,1,,,,2,0,1,1,,,,,,,,,,,
231,1,SP,D,1,B,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,1,1,,,,,0,,,,,,,0,,,1,,1,,,,,,2,0,2,1,,,,,,,,,,,
233,1,SP,B,,C,1,,1,1,,,0,,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,1,,,,1,1,,1,,,1,,1,,,,,0,,,1,1,1,1,1,,,,1,0,2,1,,1,,,1,,,,,1,
234,1,RS,B,,C,,1,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,,,,,0,,,,,,0,,,,,,,0,,,1,,1,,1,1,,,2,0,1,1,,,,,,,,,,,
236,1,PE,E,1,D,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,1,,,,,1,1,,1,,,0,,,,,,,0,,,,,1,1,,,,,2,1,2,1,,1,,,,,,,,,
237,1,PI,B,,D,,1,,1,,,1,,1,,1,1,1,,,,1,1,,1,1,,,,1,,1,1,1,1,,1,,,1,,1,,1,1,,1,,,1,1,1,,,,1,1,,1,,,1,,1,1,1,,,0,,1,1,1,1,1,1,,1,,2,0,3,1,,,1,,1,,,,,,
238,1,RS,B,,B,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,1,,,1,,0,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,1,1,,1,,,,1,0,4,1,,,,1,,,,,,,
240,1,PR,B,,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,1,1,,,1,1,,1,,,,1,1,,,,,1,1,,,,,0,,,,,,0,,,,,,,0,,1,1,,1,,1,,1,,2,1,2,1,,1,,,,,,,,,
241,1,SP,B,,B,,,,1,,,1,,1,,1,1,,,,,1,,1,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,1,,1,,,,1,1,2,1,,,,,,,,,,,
246,1,MS,A,0,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,1,,1,,1,1,,,3,0,4,,,,,,,,,1,,,
247,1,SP,B,,B,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,1,,,1,,1,,,,2,1,2,1,,,,1,,,,,,,
253,1,SP,A,0,C,,,,1,,,1,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,,,1,,1,,,,3,0,0,1,,,,,,,,,,,
257,1,PE,F,1,C,,,,1,,,1,,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,3,0,1,1,,,,,,,,,,,
260,1,RJ,D,0,A,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,,1,,,,3,0,0,1,,,,,,,,,,,
261,1,SP,B,,D,,,,1,,1,1,1,1,,0,,,,,,1,,,,,,,,1,1,1,1,,,,1,,,1,,1,,1,1,,1,,,1,,1,,,1,0,,,,,,1,,1,1,,,,0,,,1,1,1,1,1,1,,,2,0,2,,,,,,1,,,,,,
262,1,SP,B,,A,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,1,,1,,,,3,0,2,,,1,,1,,,,,,,
263,1,SP,B,,B,,,,1,,,2,,,,1,1,1,,,,1,1,,,,,,,1,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,0,,,,,,0,,,,,,,0,,1,1,1,1,1,1,1,,,2,0,2,1,,,,,,,,,,,
264,1,PE,B,,A,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,1,1,,,,0,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,1,,1,,1,,,,2,0,0,,,,,,,,,,,1,
267,1,RJ,A,0,D,,,,1,,1,1,,,1,0,,,,,,0,,,,,,,,,,1,1,,,,1,,,1,,,,1,1,,,,,1,,1,,,,1,1,,,,,1,,1,,,,,0,,,1,1,1,1,1,1,,1,2,0,2,1,,,,,1,,,,,,
268,1,RS,B,,D,,1,,1,,,1,1,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,,,1,,,0,,,,,,1,1,,,,,1,,,,,,1,0,,,1,1,1,1,1,,,,0,1,2,,,,,,,,,,,,1
271,1,SP,B,,D,,1,,1,,,1,1,,,0,,,,,,1,1,,,,,,,,,1,,1,,,0,,,,,,,1,1,1,1,,,1,1,1,,,,1,1,,,1,,0,,,,,,,0,,1,1,,1,,1,,1,,2,1,1,1,,1,,,,,1,,,,
272,1,MG,B,,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,1,,,,1,1,,1,1,,0,,,,,,,0,,,1,1,1,1,1,1,,,2,0,3,1,,,,,,,,,,,
273,1,MG,A,0,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,,1,1,,0,,,,,,,1,,,1,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,,1,1,1,1,,,,2,0,4,,,,,,,,,,,,1
274,1,MG,A,0,A,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,1,1,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,,,1,,1,,,,3,0,2,,,1,1,1,,,,,,,
277,1,SP,E,1,C,,,,1,,1,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,1,1,3,1,,,1,,,,,,,1,
279,1,PR,A,0,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,1,1,1,,1,1,,,2,1,2,1,,,,,,,,,,,
280,1,SP,B,,C,,,,1,,,1,,1,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,1,,1,,,,1,1,,,,,0,,,,,,,0,,1,,,1,,1,1,,,1,0,2,,,,,,,,,,,,1
282,1,MG,F,1,D,1,,1,1,,,1,1,,,1,,1,,,,1,1,,,,,,,,,1,,,1,,1,1,,1,,1,,1,1,,1,,,1,,1,,,,0,,,,,,0,,,,,,,0,,1,1,1,1,1,1,,,,2,0,2,1,,,,1,,,1,,,,
283,1,SP,E,1,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,1,,,,1,0,,,,,,,0,,1,1,1,1,1,1,,,,2,0,2,1,,1,,,,,,,,1,
285,1,PB,B,,D,,,,1,,1,1,1,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,1,1,,1,,,0,,,,,,,0,,,1,1,1,1,1,,,,2,0,2,1,,,,,,,,,,,
287,1,SP,B,,D,1,1,,1,,,1,,,1,1,1,1,,,1,1,1,,,,,,,1,,1,1,,,,1,1,,1,,,,1,1,,1,,,1,,1,,,,1,1,,,,,0,,,,,,,0,,,1,,1,,1,,1,,2,0,3,1,,,,,1,,,,,,
288,1,RJ,B,,C,,,,1,,,2,,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,,,,,0,,,,,,0,,,,,,,0,,1,1,,1,,1,1,,,2,0,2,1,,,,,,,,,,,
289,1,SP,B,,C,1,,,1,,,1,,1,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,1,,1,,,,0,,,,,,1,,,,1,,,0,,,1,1,1,,1,,,,2,0,2,1,,,,,,,,,,1,
291,1,SP,A,0,B,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,1,1,1,,0,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,1,1,1,,,,1,0,2,1,,,,,,,,,,,
293,1,RJ,E,1,C,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,1,,1,,,,1,,,1,,,0,,,,,,,0,,1,1,,1,,1,,,,2,0,2,1,,,,,,,,,,,
296,1,SP,B,,D,,,1,1,,,2,,,,1,,1,,,1,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,0,,,,,,1,,1,,1,1,,0,,,1,1,1,1,1,1,,,1,0,2,1,,,,,,,,,,,
299,1,RJ,B,,D,,,,1,,1,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,1,1,1,,1,1,,,2,1,4,1,,,,,,,,,,,
300,1,SP,B,,D,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,1,1,,,,2,0,1,1,,,,,,,,,,,
301,1,SP,E,1,D,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,,1,1,,,3,1,1,1,,,,,,,,,,,
304,1,SP,B,,D,,1,,1,,1,1,1,1,,1,1,1,,,,1,1,,,1,,,,,1,1,1,1,,,1,,,,,1,,1,1,,,,,1,,1,1,,,1,1,,,,,1,,1,,1,,,1,0,1,1,,1,1,1,1,,,2,0,4,1,,,,,,,,,,,
305,1,SP,B,,D,1,1,,1,,,1,1,,,1,1,1,,,,1,1,,,,,,1,1,,1,1,1,1,,1,,,1,,,,1,1,,,,,1,,1,1,,,1,1,,,1,,1,,1,,1,,,1,0,1,1,1,1,1,1,,1,,2,0,3,1,,,,,1,,,,,,
306,1,SP,F,0,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,2,0,2,,,,,,,,,,,,1
309,1,MG,B,,D,1,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,1,,1,,,0,,,,,,,0,,1,1,1,1,1,1,,1,,2,0,4,1,,1,,,,,,,,1,
314,1,DF,B,,D,,,,1,,1,1,,,1,0,,,,,,1,,,1,,,,,1,1,1,1,,,,0,,,,,,,1,1,,1,,,1,,1,,,,1,1,,,,,1,,,,,,1,0,,,1,1,1,1,1,,1,,3,0,2,,1,,,,,,,,,,
317,1,MG,B,,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,,1,,,,3,1,2,,,1,,,,,,,,,
318,1,SP,B,,C,,,,1,,,0,,,,1,1,1,1,,,1,1,,,,,,,,,1,1,,,,1,1,,,,1,,1,1,,,,,1,1,1,,,,0,,,,,,1,,1,1,1,,,0,,1,1,1,1,1,1,,,,1,0,2,1,,,,,,,,,,,
320,1,SP,B,,D,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,1,1,,1,,0,,,,,,,1,,,,,,1,,1,,,,0,,,,,,0,,,,,,,0,,,1,1,1,,1,,,,0,1,2,1,,1,,,,,,,,,
323,1,RS,A,1,D,,,,1,,,1,1,,,1,1,,,,,1,1,,,,,,,,,1,1,,,,1,,,1,,,,1,1,,,,,0,,,,,,1,1,,,,,1,,,1,,,,1,0,1,,,1,,1,,1,,1,0,2,,,,,,,,,,,,1
326,1,SP,B,,B,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,1,1,,1,,0,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,3,1,2,1,,,,,,,,,,,
327,1,RJ,F,0,A,,,,,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,1,1,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,,1,,,,3,,0,,,,1,,,,,,,,
332,0,,B,,D,1,,,1,,,1,,1,,1,1,1,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,1,1,,,,,1,1,1,,,,1,1,,1,,,1,,,,,1,,0,,1,1,1,1,,1,,,,2,1,4,1,,,,1,,,,,,,
337,1,SP,B,,A,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,,,1,,1,,,,3,0,2,1,,,,,,,,,,,
340,1,BA,B,,B,,,,1,,,0,,,,1,1,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,,,1,,,1,1,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,1,,1,,,,1,1,2,1,,1,1,1,,,,,,,
345,1,PR,B,,D,,,,1,,,1,1,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,1,1,,,,,1,,1,,,,,0,,1,1,1,1,1,1,1,,,1,0,2,,,,,,1,,,,,,
346,1,CE,B,,D,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,1,1,1,1,,1,,,1,1,,0,,,,,,,0,,1,1,1,1,1,1,,,,2,1,1,,,1,,,,,,,,,
348,1,BA,B,,D,,,,1,,,1,,1,,0,,,,,,1,1,,,,,,,,,1,,,1,,0,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,,1,,,,2,1,2,,,,,1,,,,,,,
353,1,SP,A,0,B,1,,,1,1,,1,1,,,1,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,,,,1,1,,,1,,1,,1,1,,,,1,5,1,1,1,1,1,1,1,1,,2,0,2,1,,,1,,,,,,,,
356,1,SP,B,,B,1,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,0,,,,,,1,,1,,,,,0,,,,,1,,1,,1,,1,0,2,1,,,,,,,,,,,
360,1,AM,E,1,C,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,,,1,,,1,1,1,,,,0,,,,,,0,,,,,,,0,,,1,,1,,1,1,,,2,0,1,1,,,,,,,,,,,
361,1,PR,B,,D,,1,,1,,,1,1,,,1,1,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,1,1,,1,,,0,,,,,,,0,,1,1,1,1,1,1,,,,2,0,3,1,,1,,,,,,,,,
363,1,SP,E,1,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,1,1,1,1,1,1,,,,2,0,2,,,,,,,,,,,,1
366,1,ES,A,1,B,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,1,1,1,,1,,,1,,,,1,1,,,,1,1,1,1,,,,0,,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,2,0,2,,,,1,,,,,,,,
367,1,SP,D,1,A,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,,,,,1,0,,,,,,,0,,1,1,1,1,,1,1,,,1,0,2,,,,,,,,,,,1,
369,1,SP,B,,B,,,,1,,,1,1,,,1,1,,,,,1,1,,,,,,,,,1,,1,,,0,,,,,,,1,1,,,,,1,,1,,,,1,1,,,,,0,,,,,,,0,,1,1,,1,,1,,,,2,0,0,1,,,,,,,,,,,
371,1,RJ,B,,D,,,,1,,,2,,,,0,,,,,,1,,,,,,,,,1,1,,1,,,1,,,,,,1,0,,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,,,1,1,1,,,,2,0,1,,,,,1,,,,,,,
372,1,TO,D,1,B,1,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,,,1,,1,1,,,2,0,1,1,,,,,,,,,,,
373,1,RJ,E,1,C,1,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,,,1,,0,,,,,,,1,,1,,,,1,1,1,,,,0,,,,,,0,,,,,,,0,,,1,1,1,,1,,,,3,0,2,1,,,,,,,,,,,
374,1,RJ,B,,B,,1,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,0,,,,,,1,1,1,1,1,,0,,,,,,,0,,1,1,1,1,,1,1,1,,3,0,1,1,1,,,,,,,,,,
375,1,SC,B,,C,,,,1,,,2,,,,1,,1,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,,,,,1,1,1,,,,,0,,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,2,1,2,,,1,,,,,,1,,,
377,1,SP,F,0,D,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,,,,,1,,1,5,1,1,1,1,1,1,1,,,3,0,2,1,,,,,,,,,,,
382,1,SP,B,,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,1,,,,0,,,,,,,1,1,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,1,,1,,,,1,0,0,1,,,,,,,,,,,
383,1,RN,A,0,D,,,,1,,1,1,,1,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,,1,,,,1,1,,,,,0,,,,,,,0,,1,1,,1,,1,,,,3,0,2,1,,1,,,,,,,,,
385,1,RJ,D,1,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,,1,1,,,,2,1,2,,,,,1,,,,,,,
388,1,RJ,E,1,D,,,,1,,,0,,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,0,,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,2,1,1,1,,1,,,,,,,,,1
391,1,SP,A,0,A,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,1,,1,,1,,,,3,0,1,,,1,,,,,,,,,
394,1,MG,B,,D,,,,1,,,2,,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,1,1,,,,,0,,,,,,,0,,,,,1,,1,,,,3,0,2,1,,,,,,,,,,,
395,1,PB,B,,D,,1,,1,,,1,1,,,1,1,1,,,,1,1,,,,,,,,,1,1,,,,1,,,1,,,,1,1,,,,,1,1,1,,,,0,,,,,,1,,,,,,1,0,,1,1,1,1,,1,,,,2,0,2,1,1,,,,,,,,,,
