Id,BRA,EST,PER,FOC,EXP,FRW.ANG,FRW.BBO,FRW.EMB,FRW.JQU,FRW.KNO,FRW.OTH,MOD,MOD.AMD,MOD.COM,MOD.OTH,PKG,PKG.BOW,PKG.NPM,PKG.VOL,PKG.JAM,PKG.OTH,AUT,AUT.GRN,AUT.GER,AUT.ANT,AUT.MAK,AUT.CAK,AUT.JAK,AUT.RAK,AUT.BAS,AUT.OTH,TST,TST.UNI,TST.INT,TST.PER,TST.OTH,TST.FER,TST.FER.QUN,TST.FER.KAR,TST.FER.JAS,TST.FER.SIN,TST.FER.MOC,TST.FER.OTH,VER,VER.GIT,VER.MER,VER.SVN,VER.RAT,VER.OTH,PCS,PCS.LES,PCS.SAS,PCS.STY,PCS.ROO,PCS.OTH,CSS,CSS.TBS,CSS.TCO,CSS.FOU,CSS.PUR,CSS.OTH,TMP,TMP.DUS,TMP.HAN,TMP.MUS,TMP.JAD,TMP.FRW,TMP.OTH,LNG,LNG.CHO,PRO.MHT,PRO.MCS,PRO.MJS,PRO.CCS,PRO.CJS,PRO.OIM,PRO.CDU,PRO.CDR,PRO.OTH,BRW.SUP,BRW.DES,MOB,EDT.SUB,EDT.WEB,EDT.NOT,EDT.VST,EDT.DRW,EDT.VIM,EDT.EMA,EDT.TXM,EDT.NET,EDT.ECL,EDT.BRA,EDT.OTH
206,S,DF,B,,C,1,,,1,,,N,,,,S,,,,1,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,S,,1,,,,S,1,,,,,N,,,,,,,N,,1,1,1,,,1,,,,1,B,2,1,,,,,,,,,,,
207,S,SP,B,,C,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,S,1,,1,1,,N,,,,,,,N,,,1,1,,,1,,,,2,A,3,1,,,,,,,,,,,
209,S,RS,A,N,B,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,S,1,1,1,,N,,,,,,,S,1,,1,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,1,1,,1,1,,,,2,A,1,1,,,1,,,,,,,,
210,S,MG,B,,D,1,,,1,,,S,,1,,S,1,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,S,,1,,,,S,,,1,,,N,,,,,,,N,,,,,1,,,,,,2,E,2,,,,,1,,,,,,,
211,S,SP,B,,D,1,,1,1,,,S,1,,,S,1,1,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,S,1,,,,,N,,,,,,,N,,,1,1,1,1,1,,,1,1,A,2,1,,,,,,,,,,,
213,S,SP,B,,D,,,,1,,,S,1,,,S,1,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,,,1,,N,,,,,,,N,,,1,1,1,,1,,1,,2,A,3,1,,,,,,,,,,,
214,S,MG,B,,C,,,,1,,,U,,,,N,,,,,,S,,,,,,,,,1,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,N,,,,,,N,,,,,,,N,,,1,1,1,1,1,,,,2,A,2,1,,,,,,,,,,,
215,S,SP,B,,C,,,,1,,1,N,,,,N,,,,,,N,,,,,,,,,,S,1,,,,N,,,,,,,S,1,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,1,1,1,1,,,,,,2,A,2,1,,,,,,,,,,,
218,S,RJ,B,,D,,,,1,,1,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,,,1,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,1,,,,,,3,B,0,,,1,,,,,,,,,
221,S,SC,B,,B,,,,1,,,U,,,,S,,1,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,N,,,,,,N,,,,,,,N,,,1,1,1,1,1,,,,2,A,2,1,,,,,,,,,,,
223,S,RS,B,,D,,,,1,,,N,,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,N,,,,,,S,,,,1,,S,1,,,1,,S,,,1,,,,N,,1,1,1,1,1,1,1,,,2,B,3,1,,,,,,,,,,,
226,S,SP,A,N,A,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,,,,,1,N,,,,,,N,,,,,,N,,,,,,,N,,,,,1,,,,,,3,A,0,,,,,,,,,,1,,
230,S,GO,A,N,C,1,,,1,,,U,,,,N,,,,,,S,,,1,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,1,,,,S,1,,1,,,N,,,,,,,N,,,1,1,1,1,1,,,,2,A,1,1,,,,,,,,,,,
231,S,SP,D,S,B,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,S,1,,,,,N,,,,,,,N,,,1,,1,,,,,,2,A,2,1,,,,,,,,,,,
233,S,SP,B,,C,1,,1,1,,,N,,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,1,,,,S,1,,1,,,S,,1,,,,,N,,,1,1,1,1,1,,,,1,A,2,1,,1,,,1,,,,,1,
234,S,RS,B,,C,,1,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,,,,,N,,,,,,N,,,,,,,N,,,1,,1,,1,1,,,2,A,1,1,,,,,,,,,,,
236,S,PE,E,S,D,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,S,1,,,,,S,1,,1,,,N,,,,,,,N,,,,,1,1,,,,,2,B,2,1,,1,,,,,,,,,
237,S,PI,B,,D,,1,,1,,,S,,1,,S,1,1,,,,S,1,,1,1,,,,1,,S,1,1,1,,S,,,1,,1,,S,1,,1,,,S,1,1,,,,S,1,,1,,,S,,1,1,1,,,N,,1,1,1,1,1,1,,1,,2,A,3,1,,,1,,1,,,,,,
238,S,RS,B,,B,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,S,,,1,,N,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,1,1,,1,,,,1,A,4,1,,,,1,,,,,,,
240,S,PR,B,,C,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,1,1,,,S,1,,1,,,,S,1,,,,,S,1,,,,,N,,,,,,N,,,,,,,N,,1,1,,1,,1,,1,,2,B,2,1,,1,,,,,,,,,
241,S,SP,B,,B,,,,1,,,S,,1,,S,1,,,,,S,,1,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,1,1,1,1,,1,,,,1,B,2,1,,,,,,,,,,,
246,S,MS,A,N,C,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,1,,1,,1,1,,,3,A,4,,,,,,,,,1,,,
247,S,SP,B,,B,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,1,,,1,,1,,,,2,B,2,1,,,,1,,,,,,,
253,S,SP,A,N,C,,,,1,,,S,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,,,1,,1,,,,3,A,0,1,,,,,,,,,,,
257,S,PE,F,S,C,,,,1,,,S,,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,1,1,1,1,1,,,,3,A,1,1,,,,,,,,,,,
260,S,RJ,D,N,A,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,1,,1,,,,3,A,0,1,,,,,,,,,,,
261,S,SP,B,,D,,,,1,,1,S,1,1,,N,,,,,,S,,,,,,,,1,1,S,1,,,,S,,,1,,1,,S,1,,1,,,S,,1,,,1,N,,,,,,S,,1,1,,,,N,,,1,1,1,1,1,1,,,2,A,2,,,,,,1,,,,,,
262,S,SP,B,,A,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,1,1,1,1,,1,,,,3,A,2,,,1,,1,,,,,,,
263,S,SP,B,,B,,,,1,,,U,,,,S,1,1,,,,S,1,,,,,,,1,,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,N,,,,,,N,,,,,,,N,,1,1,1,1,1,1,1,,,2,A,2,1,,,,,,,,,,,
264,S,PE,B,,A,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,S,1,,,,N,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,1,,1,,1,,,,2,A,0,,,,,,,,,,,1,
267,S,RJ,A,N,D,,,,1,,1,S,,,1,N,,,,,,N,,,,,,,,,,S,1,,,,S,,,1,,,,S,1,,,,,S,,1,,,,S,1,,,,,S,,1,,,,,N,,,1,1,1,1,1,1,,1,2,A,2,1,,,,,1,,,,,,
268,S,RS,B,,D,,1,,1,,,S,1,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,,,1,,,N,,,,,,S,1,,,,,S,,,,,,1,N,,,1,1,1,1,1,,,,0,B,2,,,,,,,,,,,,1
271,S,SP,B,,D,,1,,1,,,S,1,,,N,,,,,,S,1,,,,,,,,,S,,1,,,N,,,,,,,S,1,1,1,,,S,1,1,,,,S,1,,,1,,N,,,,,,,N,,1,1,,1,,1,,1,,2,B,1,1,,1,,,,,1,,,,
272,S,MG,B,,C,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,1,,,,S,1,,1,1,,N,,,,,,,N,,,1,1,1,1,1,1,,,2,A,3,1,,,,,,,,,,,
273,S,MG,A,N,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,,1,1,,N,,,,,,,S,,,1,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,,1,1,1,1,,,,2,A,4,,,,,,,,,,,,1
274,S,MG,A,N,A,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,1,1,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,,,1,,1,,,,3,A,2,,,1,1,1,,,,,,,
277,S,SP,E,S,C,,,,1,,1,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,1,1,1,1,1,,,,1,B,3,1,,,1,,,,,,,1,
279,S,PR,A,N,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,1,1,1,,1,1,,,2,B,2,1,,,,,,,,,,,
280,S,SP,B,,C,,,,1,,,S,,1,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,S,,1,,,,S,1,,,,,N,,,,,,,N,,1,,,1,,1,1,,,1,A,2,,,,,,,,,,,,1
282,S,MG,F,S,D,1,,1,1,,,S,1,,,S,,1,,,,S,1,,,,,,,,,S,,,1,,S,1,,1,,1,,S,1,,1,,,S,,1,,,,N,,,,,,N,,,,,,,N,,1,1,1,1,1,1,,,,2,A,2,1,,,,1,,,1,,,,
283,S,SP,E,S,C,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,,,1,N,,,,,,,N,,1,1,1,1,1,1,,,,2,A,2,1,,1,,,,,,,,1,
285,S,PB,B,,D,,,,1,,1,S,1,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,S,1,,1,,,N,,,,,,,N,,,1,1,1,1,1,,,,2,A,2,1,,,,,,,,,,,
287,S,SP,B,,D,1,1,,1,,,S,,,1,S,1,1,,,1,S,1,,,,,,,1,,S,1,,,,S,1,,1,,,,S,1,,1,,,S,,1,,,,S,1,,,,,N,,,,,,,N,,,1,,1,,1,,1,,2,A,3,1,,,,,1,,,,,,
288,S,RJ,B,,C,,,,1,,,U,,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,,,,,N,,,,,,N,,,,,,,N,,1,1,,1,,1,1,,,2,A,2,1,,,,,,,,,,,
289,S,SP,B,,C,1,,,1,,,S,,1,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,S,,1,,,,N,,,,,,S,,,,1,,,N,,,1,1,1,,1,,,,2,A,2,1,,,,,,,,,,1,
291,S,SP,A,N,B,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,1,1,1,,N,,,,,,,S,1,,,,,S,1,,,,,S,1,,,,,N,,,,,,,N,,1,1,1,1,1,1,,,,1,A,2,1,,,,,,,,,,,
293,S,RJ,E,S,C,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,S,,1,,,,S,,,1,,,N,,,,,,,N,,1,1,,1,,1,,,,2,A,2,1,,,,,,,,,,,
296,S,SP,B,,D,,,1,1,,,U,,,,S,,1,,,1,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,1,1,,,N,,,,,,S,,1,,1,1,,N,,,1,1,1,1,1,1,,,1,A,2,1,,,,,,,,,,,
299,S,RJ,B,,D,,,,1,,1,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,1,1,1,,1,1,,,2,B,4,1,,,,,,,,,,,
300,S,SP,B,,D,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,1,1,1,,,,2,A,1,1,,,,,,,,,,,
301,S,SP,E,S,D,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,1,,1,1,,,3,B,1,1,,,,,,,,,,,
304,S,SP,B,,D,,1,,1,,1,S,1,1,,S,1,1,,,,S,1,,,1,,,,,1,S,1,1,,,S,,,,,1,,S,1,,,,,S,,1,1,,,S,1,,,,,S,,1,,1,,,S,A,1,1,,1,1,1,1,,,2,A,4,1,,,,,,,,,,,
305,S,SP,B,,D,1,1,,1,,,S,1,,,S,1,1,,,,S,1,,,,,,1,1,,S,1,1,1,,S,,,1,,,,S,1,,,,,S,,1,1,,,S,1,,,1,,S,,1,,1,,,S,A,1,1,1,1,1,1,,1,,2,A,3,1,,,,,1,,,,,,
306,S,SP,F,N,C,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,1,1,1,1,1,,,,2,A,2,,,,,,,,,,,,1
309,S,MG,B,,D,1,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,1,,,N,,,,,,,N,,1,1,1,1,1,1,,1,,2,A,4,1,,1,,,,,,,,1,
314,S,DF,B,,D,,,,1,,1,S,,,1,N,,,,,,S,,,1,,,,,1,1,S,1,,,,N,,,,,,,S,1,,1,,,S,,1,,,,S,1,,,,,S,,,,,,1,N,,,1,1,1,1,1,,1,,3,A,2,,1,,,,,,,,,,
317,S,MG,B,,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,1,,1,,,,3,B,2,,,1,,,,,,,,,
318,S,SP,B,,C,,,,1,,,N,,,,S,1,1,1,,,S,1,,,,,,,,,S,1,,,,S,1,,,,1,,S,1,,,,,S,1,1,,,,N,,,,,,S,,1,1,1,,,N,,1,1,1,1,1,1,,,,1,A,2,1,,,,,,,,,,,
320,S,SP,B,,D,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,S,1,,1,,N,,,,,,,S,,,,,,S,,1,,,,N,,,,,,N,,,,,,,N,,,1,1,1,,1,,,,0,B,2,1,,1,,,,,,,,,
323,S,RS,A,S,D,,,,1,,,S,1,,,S,1,,,,,S,1,,,,,,,,,S,1,,,,S,,,1,,,,S,1,,,,,N,,,,,,S,1,,,,,S,,,1,,,,S,A,1,,,1,,1,,1,,1,A,2,,,,,,,,,,,,1
326,S,SP,B,,B,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,S,1,,1,,N,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,1,1,1,1,1,,,,3,B,2,1,,,,,,,,,,,
327,S,RJ,F,N,A,,,,,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,1,1,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,1,,1,,,,3,,0,,,,1,,,,,,,,
332,N,,B,,D,1,,,1,,,S,,1,,S,1,1,,,,S,1,,,,,,,,,S,,1,,,S,,,1,,,,S,1,,,,,S,1,1,,,,S,1,,1,,,S,,,,,1,,N,,1,1,1,1,,1,,,,2,B,4,1,,,,1,,,,,,,
337,S,SP,B,,A,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,,,1,,1,,,,3,A,2,1,,,,,,,,,,,
340,S,BA,B,,B,,,,1,,,N,,,,S,1,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,,,1,,,S,1,,,,,S,1,,,,,N,,,,,,,N,,1,1,1,1,,1,,,,1,B,2,1,,1,1,1,,,,,,,
345,S,PR,B,,D,,,,1,,,S,1,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,S,1,,,,,S,,1,,,,,N,,1,1,1,1,1,1,1,,,1,A,2,,,,,,1,,,,,,
346,S,CE,B,,D,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,S,1,1,1,1,,S,,,1,1,,N,,,,,,,N,,1,1,1,1,1,1,,,,2,B,1,,,1,,,,,,,,,
348,S,BA,B,,D,,,,1,,,S,,1,,N,,,,,,S,1,,,,,,,,,S,,,1,,N,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,1,,1,,,,2,B,2,,,,,1,,,,,,,
353,S,SP,A,N,B,1,,,1,1,,S,1,,,S,,,,,,S,,,,,,,,,,S,,,,,S,,,,,,,S,,,,,,S,,,,,,S,1,,,1,,S,,1,1,,,,S,E,1,1,1,1,1,1,1,1,,2,A,2,1,,,1,,,,,,,,
356,S,SP,B,,B,1,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,N,,,,,,S,,1,,,,,N,,,,,1,,1,,1,,1,A,2,1,,,,,,,,,,,
360,S,AM,E,S,C,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,,,1,,,S,1,1,,,,N,,,,,,N,,,,,,,N,,,1,,1,,1,1,,,2,A,1,1,,,,,,,,,,,
361,S,PR,B,,D,,1,,1,,,S,1,,,S,1,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,S,1,1,,,,S,1,,1,,,N,,,,,,,N,,1,1,1,1,1,1,,,,2,A,3,1,,1,,,,,,,,,
363,S,SP,E,S,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,1,1,1,1,1,1,,,,2,A,2,,,,,,,,,,,,1
366,S,ES,A,S,B,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,1,1,1,,S,,,1,,,,S,1,,,,1,S,1,1,,,,N,,,,,,N,,,,,,,N,,,1,1,1,1,1,,,,2,A,2,,,,1,,,,,,,,
367,S,SP,D,S,A,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,,,,,1,N,,,,,,,N,,1,1,1,1,,1,1,,,1,A,2,,,,,,,,,,,1,
369,S,SP,B,,B,,,,1,,,S,1,,,S,1,,,,,S,1,,,,,,,,,S,,1,,,N,,,,,,,S,1,,,,,S,,1,,,,S,1,,,,,N,,,,,,,N,,1,1,,1,,1,,,,2,A,0,1,,,,,,,,,,,
371,S,RJ,B,,D,,,,1,,,U,,,,N,,,,,,S,,,,,,,,,1,S,,1,,,S,,,,,,1,N,,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,,,1,1,1,,,,2,A,1,,,,,1,,,,,,,
372,S,TO,D,S,B,1,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,,,1,,1,1,,,2,A,1,1,,,,,,,,,,,
373,S,RJ,E,S,C,1,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,,,1,,N,,,,,,,S,,1,,,,S,1,1,,,,N,,,,,,N,,,,,,,N,,,1,1,1,,1,,,,3,A,2,1,,,,,,,,,,,
374,S,RJ,B,,B,,1,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,N,,,,,,S,1,1,1,1,,N,,,,,,,N,,1,1,1,1,,1,1,1,,3,A,1,1,1,,,,,,,,,,
375,S,SC,B,,C,,,,1,,,U,,,,S,,1,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,,,,,1,S,1,,,,,N,,,,,,N,,,,,,,N,,,1,1,1,1,1,,,,2,B,2,,,1,,,,,,1,,,
377,S,SP,F,N,D,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,,,,,S,1,,,,,S,,,,,1,,S,E,1,1,1,1,1,1,1,,,3,A,2,1,,,,,,,,,,,
382,S,SP,B,,C,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,1,,,,N,,,,,,,S,1,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,1,1,1,1,,1,,,,1,A,0,1,,,,,,,,,,,
383,S,RN,A,N,D,,,,1,,1,S,,1,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,S,,1,,,,S,1,,,,,N,,,,,,,N,,1,1,,1,,1,,,,3,A,2,1,,1,,,,,,,,,
385,S,RJ,D,S,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,,1,1,,,,2,B,2,,,,,1,,,,,,,
388,S,RJ,E,S,D,,,,1,,,N,,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,N,,,,,,N,,,,,,,N,,,1,1,1,1,1,,,,2,B,1,1,,1,,,,,,,,,1
391,S,SP,A,N,A,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,1,,1,,1,,,,3,A,1,,,1,,,,,,,,,
394,S,MG,B,,D,,,,1,,,U,,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,S,1,,,,,N,,,,,,,N,,,,,1,,1,,,,3,A,2,1,,,,,,,,,,,
395,S,PB,B,,D,,1,,1,,,S,1,,,S,1,1,,,,S,1,,,,,,,,,S,1,,,,S,,,1,,,,S,1,,,,,S,1,1,,,,N,,,,,,S,,,,,,1,N,,1,1,1,1,,1,,,,2,A,2,1,1,,,,,,,,,,
396,S,PR,B,,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,,1,1,,N,,,,,,,S,1,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,,,1,1,1,,,,2,A,2,,,,,1,,,,,,,
398,S,SP,B,,C,1,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,S,1,,,,S,,1,1,,,,S,1,,,,,S,,1,,,,S,1,,,,,N,,,,,,,N,,,1,1,1,1,1,1,,,2,A,1,1,,,,,,,,,,,
399,S,TO,A,N,B,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,,,1,,1,,,,3,A,0,,,,1,,,,,,,,
401,S,SC,B,,D,1,,,1,,,N,,,,S,1,1,,,,S,1,,,1,,,,,,S,,,1,,S,,,,,1,,S,1,1,,,,S,1,1,1,,,S,1,,1,1,,S,,,1,,,,N,,1,1,1,1,1,1,1,1,,2,A,2,1,,,,,,,,,,,
